timestamp,eci,pci,earfcn,tac,mcc,mnc,rsrp,rsrq,rssnr,cqi,latitude,longitude,altitude,gps_accuracy,speed,bearing,distance_from_bs
1788411442983,4097097730,199,504990,2097215,460,0,-74,-11,18,-1,39.89447682,116.34391706,41.54095458984375,3.7900925,1.18,0.9,
1788411442829,4097097730,199,504990,2097215,460,0,-74,-11,18,-1,39.89447682,116.34391706,41.54095458984375,3.7900925,1.18,0.9,
1788411440969,4097097730,199,504990,2097215,460,0,-83,-13,3,-1,39.89445371,116.34391767,41.30133056640625,3.7900925,1.1,357.3,
1788411438962,4097097730,199,504990,2097215,460,0,-83,-13,3,-1,39.8944278,116.3439171,41.409423828125,3.7900925,1.11,348.1,
1788411436947,4097097730,199,504990,2097215,460,0,-83,-13,3,-1,39.89440585,116.34392282,41.4202880859375,3.7900925,1.15,348.6,
1788411434635,4097097730,199,504990,2097215,460,0,-83,-13,3,-1,39.89437424,116.34392287,42.0931396484375,3.7900925,1.14,345.1,
1788411432617,4097097730,199,504990,2097215,460,0,-83,-13,3,-1,39.89435152,116.34392763,42.35284423828125,3.7900925,1.13,353.6,
1788411431963,4097097730,199,504990,2097215,460,0,-83,-13,3,-1,39.89435152,116.34392763,42.35284423828125,3.7900925,1.13,353.6,
1788411430603,4097097730,199,504990,2097215,460,0,-87,-15,-1,-1,39.89433034,116.34393149,42.56365966796875,3.7900925,1.11,358.0,
1788411428486,4097097730,199,504990,2097215,460,0,-87,-15,-1,-1,39.89430915,116.34393636,42.44854736328125,3.7900925,1.16,352.8,
1788411426475,4097097730,199,504990,2097215,460,0,-87,-15,-1,-1,39.89428595,116.34393731,42.4991455078125,3.7900925,1.21,359.1,
1788411424450,4097097730,199,504990,2097215,460,0,-87,-15,-1,-1,39.89426204,116.34393498,42.59112548828125,3.7900925,1.15,6.5,
1788411422433,4097097730,199,504990,2097215,460,0,-87,-15,-1,-1,39.89423838,116.34393242,42.3243408203125,3.7900925,1.13,348.6,
1788411421844,4097097730,199,504990,2097215,460,0,-87,-15,-1,-1,39.89423838,116.34393242,42.3243408203125,3.7900925,1.13,348.6,
1788411420412,4097097730,199,504990,2097215,460,0,-80,-12,3,-1,39.89421663,116.34393618,42.1533203125,3.7900925,1.16,344.6,
1788411418397,4097097730,199,504990,2097215,460,0,-80,-12,3,-1,39.89419422,116.34393938,41.9539794921875,3.7900925,1.16,354.4,
1788411416377,4097097730,199,504990,2097215,460,0,-80,-12,3,-1,39.89417103,116.3439379,42.1614990234375,3.7900925,1.19,2.8,
1788411414358,4097097730,199,504990,2097215,460,0,-80,-12,3,-1,39.89414726,116.34393782,42.11737060546875,3.7900925,1.32,2.0,
1788411412343,4097097730,199,504990,2097215,460,0,-80,-12,3,-1,39.89412158,116.34393826,42.12481689453125,3.7900925,1.16,357.2,
1788411411841,4097097730,199,504990,2097215,460,0,-80,-12,3,-1,39.89412158,116.34393826,42.12481689453125,3.7900925,1.16,357.2,
1788411410330,4097097730,199,504990,2097215,460,0,-79,-11,11,-1,39.89409726,116.34393953,42.30401611328125,3.7900925,1.27,1.1,
1788411408312,4097097730,199,504990,2097215,460,0,-79,-11,11,-1,39.89407151,116.34393956,43.1236572265625,3.7900925,1.23,359.5,
1788411406305,4097097730,199,504990,2097215,460,0,-79,-11,11,-1,39.89404793,116.34394092,43.09759521484375,3.7900925,1.24,353.5,
1788411404295,4097097730,199,504990,2097215,460,0,-79,-11,11,-1,39.89402055,116.3439443,42.93310546875,3.7900925,1.22,356.4,
1788411402280,4097097730,199,504990,2097215,460,0,-79,-11,11,-1,39.89399062,116.34394031,43.62359619140625,3.7900925,1.25,355.7,
1788411401839,4097097730,199,504990,2097215,460,0,-79,-11,11,-1,39.89399062,116.34394031,43.62359619140625,3.7900925,1.25,355.7,
1788411400271,4099850241,6,504990,2097215,460,0,-83,-14,0,-1,39.89396722,116.34394162,43.2943115234375,3.7900925,1.14,354.0,
1788411398157,4099850241,6,504990,2097215,460,0,-83,-14,0,-1,39.89394334,116.3439397,43.4090576171875,3.7900925,1.08,345.0,
1788411396141,4099850241,6,504990,2097215,460,0,-83,-14,0,-1,39.89392358,116.3439443,43.03814697265625,3.7900925,1.15,342.3,
1788411393877,4099850241,6,504990,2097215,460,0,-83,-14,0,-1,39.89389461,116.34394335,43.3228759765625,3.7900925,1.09,3.2,
1788411391839,4099850241,6,504990,2097215,460,0,-83,-14,0,-1,39.89388359,116.34394209,43.321044921875,3.7900925,1.11,359.7,
1788411391369,4099850241,6,504990,2097215,460,0,-81,-11,11,-1,39.8938725,116.34394186,43.34912109375,3.7900925,1.04,348.4,
1788411389356,4099850241,6,504990,2097215,460,0,-81,-11,11,-1,39.89384997,116.34393848,43.2003173828125,3.7900925,1.13,330.5,
1788411386063,4099850241,6,504990,2097215,460,0,-81,-11,11,-1,39.89381771,116.34394909,43.08441162109375,3.7900925,1.1,347.8,
1788411384052,4099850241,6,504990,2097215,460,0,-81,-11,11,-1,39.89379574,116.34395199,42.33770751953125,3.7900925,1.1,341.8,
1788411382040,4099850241,6,504990,2097215,460,0,-81,-11,11,-1,39.89377164,116.34395783,42.7099609375,3.7900925,1.11,353.6,
1788411381827,4099850241,6,504990,2097215,460,0,-81,-11,11,-1,39.89377164,116.34395783,42.7099609375,3.7900925,1.11,353.6,
1788411380030,4099850241,6,504990,2097215,460,0,-88,-16,-4,-1,39.89374807,116.34396171,42.75360107421875,3.7900925,1.07,349.3,
1788411378023,4099850241,6,504990,2097215,460,0,-88,-16,-4,-1,39.89372651,116.34396326,41.71502685546875,3.7900925,1.08,352.1,
1788411375959,4099850241,6,504990,2097215,460,0,-88,-16,-4,-1,39.89370402,116.34396635,41.68560791015625,3.7900925,1.25,353.9,
1788411373260,4099850241,6,504990,2097215,460,0,-88,-16,-4,-1,39.89366823,116.34397418,42.00567626953125,3.7900925,1.1,1.4,
1788411371826,4099850241,6,504990,2097215,460,0,-88,-16,-4,-1,39.89365665,116.34397468,42.57861328125,3.7900925,1.08,349.2,
1788411371067,4099850241,6,504990,2097215,460,0,-83,-12,7,-1,39.89364522,116.34397762,42.7808837890625,3.7900925,1.07,352.1,
1788411368652,4099850241,6,504990,2097215,460,0,-83,-12,7,-1,39.89361367,116.34398122,42.9779052734375,3.7900925,1.07,358.8,
1788411366631,4099850241,6,504990,2097215,460,0,-83,-12,7,-1,39.89359339,116.34398086,42.0260009765625,3.7900925,1.1,353.7,
1788411364589,4099850241,6,504990,2097215,460,0,-83,-12,7,-1,39.8935744,116.34397702,41.76507568359375,3.7900925,1.08,8.5,
1788411361794,4099850241,6,504990,2097215,460,0,-83,-12,7,-1,39.89354223,116.34398212,41.70123291015625,3.7900925,1.06,3.0,
1788411361045,4099850241,6,504990,2097215,460,0,-83,-12,7,-1,39.89354223,116.34398212,41.70123291015625,3.7900925,1.06,3.0,
1788411359272,4099850241,6,504990,2097215,460,0,-81,-11,7,-1,39.89351933,116.34398309,41.78009033203125,3.7900925,1.11,358.9,
1788411357257,4099850241,6,504990,2097215,460,0,-81,-11,7,-1,39.89349461,116.34398338,41.2655029296875,3.7900925,1.09,355.1,
1788411355243,4099850241,6,504990,2097215,460,0,-81,-11,7,-1,39.89347337,116.34398187,41.24639892578125,3.7900925,1.14,349.4,
1788411353049,4099850241,6,504990,2097215,460,0,-81,-11,7,-1,39.89345117,116.34398402,42.1044921875,3.7900925,1.15,359.7,
1788411350866,4099850241,6,504990,2097215,460,0,-81,-11,7,-1,39.89343018,116.34398225,42.388916015625,3.7900925,1.12,15.7,
1788411349977,4099850241,6,504990,2097215,460,0,-81,-11,7,-1,39.89341956,116.3439785,42.63922119140625,3.7900925,1.32,25.5,
1788411348556,4099850241,6,504990,2097215,460,0,-84,-12,11,-1,39.89339757,116.34397632,42.432373046875,3.7900925,1.15,330.9,
1788411345435,4099850241,6,504990,2097215,460,0,-84,-12,11,-1,39.89336813,116.34398615,42.29742431640625,3.7900925,1.07,358.0,
1788411342971,4099850241,6,504990,2097215,460,0,-84,-12,11,-1,39.89333265,116.34398823,42.7049560546875,3.7900925,1.09,343.2,
1788411340948,4099850241,6,504990,2097215,460,0,-84,-12,11,-1,39.89331181,116.34399591,42.3448486328125,3.7900925,1.1,356.0,
1788411339034,4099850241,6,504990,2097215,460,0,-84,-12,11,-1,39.8933015,116.34399679,42.3154296875,3.7900925,1.12,349.0,
1788411338215,4099850241,6,504990,2097215,460,0,-79,-11,14,-1,39.89329176,116.34399906,42.32183837890625,3.7900925,0.97,1.5,
1788411335490,4099850241,6,504990,2097215,460,0,-79,-11,14,-1,39.89326276,116.34399927,42.64501953125,3.7900925,1.13,359.7,
1788411333463,4099850241,6,504990,2097215,460,0,-79,-11,14,-1,39.89324423,116.34400002,42.49078369140625,3.7900925,1.06,351.7,
1788411331453,4099850241,6,504990,2097215,460,0,-79,-11,14,-1,39.89322648,116.34400099,42.29534912109375,3.7900925,1.05,359.9,
1788411329034,4099850241,6,504990,2097215,460,0,-79,-11,14,-1,39.8932086,116.34399689,42.4669189453125,3.7900925,0.99,33.4,
1788411328469,4099850241,6,504990,2097215,460,0,-68,-11,19,-1,39.89320266,116.34398796,42.38153076171875,3.7900925,1.27,51.2,
